동별,연령별,시점,남자,여자
종로1.2.3.4가동,70~74세,2022. 3/4,4,6
종로1.2.3.4가동,70~74세,2023. 3/4,6,4
종로1.2.3.4가동,75~79세,2020. 3/4,2,3
종로1.2.3.4가동,75~79세,2022. 3/4,4,1
종로1.2.3.4가동,75~79세,2023. 3/4,5,2
종로1.2.3.4가동,80~84세,2020. 3/4,1,0
종로1.2.3.4가동,80~84세,2022. 3/4,1,2
종로1.2.3.4가동,80~84세,2023. 3/4,1,3
종로1.2.3.4가동,85~89세,2020. 3/4,0,1
종로1.2.3.4가동,85~89세,2022. 3/4,0,1
종로1.2.3.4가동,85~89세,2023. 3/4,0,1
종로1.2.3.4가동,90~94세,2020. 3/4,0,0
종로1.2.3.4가동,90~94세,2022. 3/4,0,0
종로1.2.3.4가동,90~94세,2023. 3/4,0,0
종로1.2.3.4가동,95~99세,2020. 3/4,0,0
종로1.2.3.4가동,95~99세,2022. 3/4,0,0
종로1.2.3.4가동,95~99세,2023. 3/4,0,0
종로1.2.3.4가동,100세 이상,2020. 3/4,0,0
종로1.2.3.4가동,100세 이상,2022. 3/4,0,0
종로1.2.3.4가동,100세 이상,2023. 3/4,0,0
종로5.6가동,0~4세,2020. 3/4,2,2
종로5.6가동,0~4세,2022. 3/4,2,1
종로5.6가동,0~4세,2023. 3/4,3,2
종로5.6가동,5~9세,2020. 3/4,3,0
종로5.6가동,5~9세,2022. 3/4,2,0
종로5.6가동,5~9세,2023. 3/4,3,2
종로5.6가동,10~14세,2020. 3/4,4,5
종로5.6가동,10~14세,2022. 3/4,3,0
종로5.6가동,10~14세,2023. 3/4,4,1
종로5.6가동,15~19세,2020. 3/4,12,15
종로5.6가동,15~19세,2022. 3/4,9,5
종로5.6가동,15~19세,2023. 3/4,24,20
종로5.6가동,20~24세,2020. 3/4,85,65
종로5.6가동,20~24세,2022. 3/4,47,85
종로5.6가동,20~24세,2023. 3/4,53,84
종로5.6가동,25~29세,2020. 3/4,66,32
종로5.6가동,25~29세,2022. 3/4,71,32
종로5.6가동,25~29세,2023. 3/4,74,47
종로5.6가동,30~34세,2020. 3/4,24,17
종로5.6가동,30~34세,2022. 3/4,32,20
종로5.6가동,30~34세,2023. 3/4,45,25
종로5.6가동,35~39세,2020. 3/4,8,9
종로5.6가동,35~39세,2022. 3/4,15,11
종로5.6가동,35~39세,2023. 3/4,12,17
종로5.6가동,40~44세,2020. 3/4,17,11
종로5.6가동,40~44세,2022. 3/4,15,11
종로5.6가동,40~44세,2023. 3/4,14,14
종로5.6가동,45~49세,2020. 3/4,11,7
종로5.6가동,45~49세,2022. 3/4,6,4
종로5.6가동,45~49세,2023. 3/4,7,7
종로5.6가동,50~54세,2020. 3/4,7,8
종로5.6가동,50~54세,2022. 3/4,4,10
종로5.6가동,50~54세,2023. 3/4,9,10
종로5.6가동,55~59세,2020. 3/4,7,18
종로5.6가동,55~59세,2022. 3/4,8,13
종로5.6가동,55~59세,2023. 3/4,7,12
종로5.6가동,60~64세,2020. 3/4,8,11
종로5.6가동,60~64세,2022. 3/4,4,4
